"word","valence","valence_mean_sd","dominance","dominance_mean_sd","arousal","arousal_mean_sd","frequency"
"hawk","5.8800001144","1.6200000047684","4.3899998665","2.289999961853027","5.5","1.6900000572205","14"
"man","6.7300000191","1.7000000476837","5.2399997711","2.309999942779541","5.5300002098","2.2300000190735","1207"
"nurse","6.0799999237","2.0799999237061","4.8400001526","2.039999961853027","4.8400001526","2.2000000476837","17"
"plane","6.4299998283","1.9800000190735","6.1399998665","2.390000104904175","4.7800002098","2.1900000572205","114"
"tennis","6.0199999809","1.9700000286102","4.6100001335","2.599999904632568","5.6100001335","2.1199998855591","15"
"bus","4.5100002289","1.5700000524521","3.5499999523","1.799999952316284","4.8400001526","1.75","34"
"white","6.4699997902","1.5900000333786","4.3699998856","2.140000104904175","5.9800000191","1.7300000190735","365"
"black","5.3899998665","1.7999999523163","4.6100001335","2.240000009536743","5.1399998665","1.789999961853","203"
"blue","6.7600002289","1.7799999713898","4.3099999428","2.200000047683716","5.6300001144","1.6399999856949","143"
"yellow","5.6100001335","1.9400000572205","4.4299998283","2.049999952316284","5.4699997902","1.5800000429153","55"
"adult","6.4899997711","1.5","4.7600002289","1.950000047683716","5.75","2.210000038147","25"
"basket","5.4499998093","1.1499999761581","3.6300001144","2.019999980926514","5.7600002289","1.4500000476837","17"
"bathroom","5.5500001907","1.3600000143051","3.8800001144","1.720000028610229","5.6500000954","1.5900000333786","18"
"bed","7.5100002289","1.3799999952316","3.6099998951","2.559999942779541","6.8800001144","1.7799999713898","127"
"building","5.2899999619","1.1499999761581","3.9200000763","1.940000057220459","5.25","1.5700000524521","160"
"car","7.7300000191","1.6299999952316","6.2399997711","2.039999961853027","6.9800000191","2.0599999427795","274"
"computer","6.2399997711","1.6100000143051","4.75","1.929999947547913","5.2899999619","1.9900000095367","13"
"cliff","4.6700000763","2.0799999237061","6.25","2.150000095367432","4.3499999046","2.1099998950958","11"
"cow","5.5700001717","1.5299999713898","3.4900000095","2.130000114440918","5.3200001717","1.6100000143051","29"
"dustpan","3.9800000191","1.6799999475479","3.4300000668","2","5.4499998093","1.8099999427795","0"
"face","6.3899998665","1.6000000238419","5.0399999619","2.180000066757202","5.6700000763","1.5800000429153","371"
"farm","5.5300002098","1.8500000238419","3.9000000954","1.950000047683716","5.5900001526","1.8099999427795","125"
"field","6.1999998093","1.3700000047684","4.0799999237","2.410000085830688","5.8400001526","1.9400000572205","274"
"fish","6.0399999619","1.9400000572205","4","2.190000057220459","6.0199999809","1.6799999475479","35"
"fork","5.2899999619","0.9700000286102","3.9600000381","1.940000057220459","5.7399997711","1.5199999809265","14"
"hairdryer","4.8400001526","0.839999973774","3.7100000381","1.75","5.5700001717","1.2699999809265","0"
"highway","5.9200000763","1.7200000286102","5.1599998474","2.440000057220459","5.6599998474","1.8099999427795","40"
"house","7.2600002289","1.7200000286102","4.5599999428","2.410000085830688","6.0799999237","2.1199998855591","591"
"hydrant","5.0199999809","0.9300000071526","3.7100000381","1.75","5.5300002098","1.2999999523163","0"
"iron","4.9000000954","1.0199999809265","3.7599999905","2.059999942779541","5.0999999046","1.2699999809265","43"
"lightbulb","5.6100001335","1.2799999713898","4.0999999046","2.019999980926514","5.8200001717","1.5599999427795","0"
"mushroom","5.7800002098","2.2200000286102","4.7199997902","2.329999923706055","5.5199999809","2.0999999046326","2"
"office","5.2399997711","1.5900000333786","4.0799999237","1.919999957084656","5.5900001526","1.8899999856949","255"
"rain","5.0799999237","2.5099999904633","3.6500000954","2.349999904632568","4.7800002098","1.6799999475479","70"
"red","6.4099998474","1.6100000143051","5.2899999619","2.039999961853027","5.7800002098","1.5900000333786","197"
"runner","5.6700000763","1.9099999666214","4.7600002289","2.400000095367432","5.4699997902","1.8400000333786","1"
"sky","7.3699998856","1.3999999761581","4.2699999809","2.170000076293945","5.1599998474","2","58"
"skyscraper","5.8800001144","1.8700000047684","5.7100000381","2.170000076293945","4.3299999237","2.3599998950958","2"
"space","6.7800002098","1.6599999666214","5.1399998665","2.539999961853027","5.1999998093","2.4400000572205","184"
"snow","7.0799999237","1.8300000429153","5.75","2.470000028610229","5.8000001907","1.9700000286102","59"
"swimmer","6.5399999619","1.6399999856949","4.8200001717","2.490000009536743","5.9600000381","1.9099999666214","0"
"truck","5.4699997902","1.8799999952316","4.8400001526","2.170000076293945","5.3299999237","1.8300000429153","57"
"umbrella","5.1599998474","1.5700000524521","3.6800000668","1.990000009536743","5.4200000763","1.9099999666214","8"
"violin","5.4299998283","1.9800000190735","3.4900000095","2.259999990463257","5.1799998283","2.0099999904633","11"
"watch","5.7800002098","1.5099999904633","4.0999999046","2.119999885559082","5.3699998856","1.75","81"
"addict","2.4800000191","2.0799999237061","5.6599998474","2.259999990463257","3.7200000286","2.539999961853","1"
